RHIZO 2012,Operator,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),Tips,Forks,Crossings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
SampleId,COLOR,Name,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,LINK,Link#,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,DEV,Order#,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,AXIS,Order#,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXGRAV4-2,JJR,10/8/2021 15:04,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.3942,17.7482,28.194,20 30 5610 8910  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-175,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1955.9236,0,38.3487,0,120.4761,0,0.1961,0,1955.9236,0,0.591,8811,18991,3272,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1777.7244,174.1288,2.9281,0.1232,0.0069,0,0,0,0,0,70.929,35.6904,1.034,0.0683,0.0046,0,0,0,0,0,22.5774,11.3606,0.3291,0.0217,0.0015,0,0,0,0,0,0.3893,0.5959,0.0293,0.003,0.0002,0,0,0,0,0,8792,18,1,0,0,0,0,0,0,0
CXGRAV4-3,JJR,10/8/2021 15:17,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,502.3115,17.7165,28.3528,10 10 5590 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1740.5928,0,35.2786,0,110.8311,0,0.2027,0,1740.5928,0,0.562,7581,16974,3088,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1571.5342,166.3118,1.6915,0.0521,0,0,0,0,0,0,64.1889,34.2838,0.5809,0.0261,0,0,0,0,0,0,20.4319,10.9129,0.1849,0.0083,0,0,0,0,0,0,0.356,0.5764,0.016,0.001,0,0,0,0,0,0,7564,17,0,0,0,0,0,0,0,0
CXBICK4-1,JJR,10/11/2021 10:46,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,498.7107,17.5895,28.3528,10 20 5550 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-175,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1311.6788,0,29.2556,0,91.9093,0,0.223,0,1311.6788,0,0.512,5482,10044,1590,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1195.1006,114.702,1.0102,0.0327,0,0,0,0,0,0,61.3606,22.1456,0.3531,0.0219,0,0,0,0,0,0,19.5317,7.0492,0.1124,0.007,0,0,0,0,0,0,0.3959,0.3492,0.0099,0.0011,0,0,0,0,0,0,5462,20,0,0,0,0,0,0,0,0
CXBICK4-2,JJR,10/11/2021 11:08,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,505.5776,17.8118,28.3845,10 20 5620 8960  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2246.9969,0,44.1223,0,138.6144,0,0.1964,0,2246.9969,0,0.68,11062,26126,4782,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2075.7651,167.3129,2.0815,0.0629,0.0391,0,0,0,0,0,90.8066,31.9248,0.7284,0.0332,0.0265,0,0,0,0,0,28.9047,10.162,0.2319,0.0106,0.0084,0,0,0,0,0,0.5473,0.496,0.0205,0.0014,0.0014,0,0,0,0,0,11040,20,2,0,0,0,0,0,0,0
CXBREV4-1,JJR,10/11/2021 11:48,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,498.7107,17.5895,28.3528,10 10 5550 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-175,Smooth Off Area On 0.0100 LWRatio Off,Off,1,3305.9096,0,65.5844,0,206.0396,0,0.1984,0,3305.9096,0,1.022,15289,49544,9401,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,3054.3794,236.6981,11.6478,1.0907,0.2706,0,0,0,0,0,126.2585,49.6177,4.229,0.6047,0.2154,0,0,0,0,0,40.1893,15.7938,1.3461,0.1925,0.0686,0,0,0,0,0,0.715,0.8572,0.1236,0.0268,0.0119,0,0,0,0,0,15250,38,1,0,0,0,0,0,0,0
CXBREV4-2,JJR,10/11/2021 12:07,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,503.7752,17.7482,28.3845,10 20 5600 8960  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-177,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2941.7777,0,61.2917,0,192.5536,0,0.2083,0,2941.7777,0,1.003,13679,39554,6832,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2689.0405,239.247,10.3344,1.0841,0.1306,0.0711,0,0,0,0,116.1638,48.1645,3.7148,0.5722,0.0916,0.0584,0,0,0,0,36.9761,15.3312,1.1825,0.1821,0.0291,0.0186,0,0,0,0,0.7058,0.7955,0.1074,0.0242,0.0051,0.0038,0,0,0,0,13641,37,1,0,0,0,0,0,0,0
CXMOLE4-1,MGM,10/11/2021 15:51,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,501.4113,17.6847,28.3528,10 10 5580 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-172,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1893.5718,0,41.4284,0,130.1511,0,0.2188,0,1893.5718,0,0.712,8051,20333,3709,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1656.1378,227.8151,8.1604,0.4787,0.018,0,0,0,0,0,65.9305,48.434,2.8896,0.2442,0.0113,0,0,0,0,0,20.9863,15.417,0.9198,0.0777,0.0036,0,0,0,0,0,0.3548,0.8466,0.0821,0.0099,0.0006,0,0,0,0,0,8006,36,6,3,0,0,0,0,0,0
CXMOLE4-2,MGM,10/11/2021 16:05,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,504.4466,17.8118,28.321,10 30 5620 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-182,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2671.0148,0,45.2334,0,142.1048,0,0.1693,0,2671.0148,0,0.602,9067,25120,5054,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2566.0826,103.0123,1.2236,0.0172,0,0,0,0,0,0,105.0951,19.2993,0.4381,0.0083,0,0,0,0,0,0,33.4528,6.1431,0.1394,0.0026,0,0,0,0,0,0,0.5676,0.2943,0.0126,0.0003,0,0,0,0,0,0,9047,20,0,0,0,0,0,0,0,0
CXMOLE4-3,MGM,10/11/2021 16:17,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,317.7131,13.2715,23.9395,750 780 4930 8320  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-175,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2178.0338,0,44.8329,0,140.8466,0,0.2058,0,2178.0338,0,0.725,9079,26140,4424,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2009.9087,154.3948,10.9151,1.5509,0.2647,0,0,0,0,0,86.6669,31.9964,3.967,0.8369,0.186,0,0,0,0,0,27.5869,10.1848,1.2627,0.2664,0.0592,0,0,0,0,0,0.4719,0.5486,0.116,0.0361,0.0104,0,0,0,0,0,9050,24,4,1,0,0,0,0,0,0
CXMOLE4-4,MGM,10/11/2021 16:33,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,501.749,17.7165,28.321,10 20 5590 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-174,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1083.0308,0,22.8184,0,71.6861,0,0.2107,0,1083.0308,0,0.378,5067,11615,2005,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,954.3334,124.5119,3.3629,0.361,0,0,0,0,0,0,37.4459,25.6673,1.2293,0.1851,0,0,0,0,0,0,11.9194,8.1701,0.3913,0.0589,0,0,0,0,0,0,0.1987,0.4321,0.0362,0.0076,0,0,0,0,0,0,5052,12,3,0,0,0,0,0,0,0
CXMOLE4-5,MGM,10/11/2021 16:45,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,312.0457,13.0175,23.9712,20 920 4120 8470  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1072.6098,0,19.8358,0,62.3161,0,0.1849,0,1072.6098,0,0.288,5182,13162,2468,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,960.0409,107.9655,3.1749,0.4603,0.0103,0,0,0,0,0,31.9255,21.7219,1.1651,0.2373,0.007,0,0,0,0,0,10.1622,6.9143,0.3709,0.0755,0.0022,0,0,0,0,0,0.146,0.3568,0.0344,0.0098,0.0004,0,0,0,0,0,5166,11,5,0,0,0,0,0,0,0
TRAOHI4-1,JJR,10/12/2021 10:08,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,250.6769,12.9857,19.304,490 1430 4580 7510  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-186,Smooth Off Area On 0.0100 LWRatio Off,Off,1,106.9012,0,4.3136,0,13.5516,0,0.4035,0,106.9012,0,0.137,285,708,47,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,73.0416,29.3755,3.7798,0.4967,0,0.2076,0,0,0,0,4.7424,6.4295,1.3437,0.2848,0,0.1807,0,0,0,0,1.5095,2.0466,0.4277,0.0907,0,0.0575,0,0,0,0,0.0336,0.1161,0.0385,0.013,0,0.0123,0,0,0,0,281,3,0,1,0,0,0,0,0,0
HELAUT4-1,JJR,10/12/2021 10:24,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,502.6482,17.7482,28.321,20 20 5610 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1094.683,0,32.1176,0,100.9005,0,0.2934,0,1094.683,0,0.74,1003,3252,749,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,965.1153,113.4971,13.7814,1.6746,0.2571,0,0,0,0.0153,0.3136,63.3313,24.3249,5.0721,0.8686,0.1789,0,0,0,0.1397,0.454,20.159,7.7429,1.6145,0.2765,0.0569,0,0,0,0.0445,0.1445,0.4027,0.4325,0.1503,0.0361,0.0099,0,0,0,0.0154,0.0524,992,8,3,0,0,0,0,0,0,0
AGANEP4-1,JJR,10/12/2021 11:29,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,504.3387,17.7482,28.4162,20 10 5610 8960  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-171,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1447.6511,0,50.7888,0,159.5576,0,0.3508,0,1447.6511,0,1.399,2160,6019,889,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1159.3279,249.3901,29.3269,4.6355,2.0477,1.3364,0.3345,0.227,0.2685,0.5452,77.5834,53.4803,10.6671,2.4716,1.412,1.1631,0.3417,0.2777,0.3571,0.8799,24.6956,17.0233,3.3954,0.7867,0.4494,0.3702,0.1088,0.0884,0.1137,0.2801,0.5444,0.9492,0.3133,0.1056,0.0778,0.0807,0.0278,0.027,0.0379,0.1146,2142,15,2,0,0,0,0,1,0,0
AGANEP4-2,JJR,10/12/2021 11:50,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,501.4113,17.6847,28.3528,10 20 5580 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-165,Smooth Off Area On 0.0100 LWRatio Off,Off,1,953.8419,0,39.8733,0,125.2657,0,0.418,0,953.8419,0,1.309,1293,4499,480,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,715.7598,180.6164,41.8364,8.9226,2.7653,1.1871,0.6964,0.6416,0.0984,1.3084,48.1076,40.8767,15.5252,4.6857,1.9342,1.022,0.7145,0.7665,0.1169,2.3576,15.3131,13.0115,4.9418,1.4915,0.6157,0.3253,0.2274,0.244,0.0372,0.7504,0.3228,0.7639,0.4646,0.1972,0.1082,0.0702,0.0583,0.073,0.0108,0.3448,1274,18,0,0,0,1,0,0,0,0
AGANEP4-3,JJR,10/12/2021 12:03,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,504.4466,17.8118,28.321,10 40 5620 8960  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-170,Smooth Off Area On 0.0100 LWRatio Off,Off,1,997.6005,0,35.3304,0,110.9939,0,0.3542,0,997.6005,0,0.983,1390,3301,461,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,781.2382,186.5296,23.7135,4.6873,0.1875,0.3427,0.18,0.4831,0,0,51.6751,39.8993,8.7262,2.4883,0.1222,0.3018,0.1735,0.5603,0,0,16.4487,12.7004,2.7776,0.7921,0.0389,0.0961,0.0552,0.1784,0,0,0.3512,0.7045,0.2587,0.1059,0.0064,0.0212,0.0133,0.0517,0,0,1373,13,2,0,0,1,0,1,0,0
POTARG4-1,JJR,10/12/2021 13:06,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,502.3115,17.7165,28.3528,20 20 5600 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-170,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2104.4471,0,72.9092,0,229.051,0,0.3465,0,2104.4471,0,1.984,2811,13615,1625,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1757.4774,286.6797,45.0795,9.3617,2.1219,0.7795,0.7245,0.2553,0.6066,1.2026,118.6735,61.6198,16.6094,4.9848,1.4726,0.6535,0.7216,0.3011,0.7845,2.661,37.7749,19.6142,5.2869,1.5867,0.4687,0.208,0.2297,0.0958,0.2497,0.847,0.8181,1.0932,0.4931,0.2126,0.0818,0.0436,0.0573,0.0283,0.0807,0.5135,2791,17,2,1,0,0,0,0,0,0
POTARG4-2,JJR,10/12/2021 13:30,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,501.4113,17.6847,28.3528,20 20 5590 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2026.4402,0,59.9854,0,188.4497,0,0.296,0,2026.4402,0,1.395,2728,10177,1406,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1802.0341,196.4741,21.7949,4.443,0.8458,0.2454,0,0,0,0,120.3561,41.1322,8,2.3546,0.573,0.2015,0,0,0,0,38.3105,13.0928,2.5465,0.7495,0.1824,0.0641,0,0,0,0,0.8214,0.7127,0.237,0.0999,0.031,0.0132,0,0,0,0,2712,13,2,0,0,1,0,0,0,0
PYCPIL4-1,JJR,10/12/2021 14:27,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,503.7752,17.7482,28.3845,10 10 5600 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-176,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2004.676,0,56.0491,0,176.0834,0,0.2796,0,2004.676,0,1.231,2786,9910,1742,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1776.5533,202.6493,17.7388,4.2432,1.4001,0.3873,0.3711,0.0636,0.0939,0.8489,104.5674,42.8266,6.6315,2.276,0.9868,0.3502,0.3764,0.0753,0.1273,1.8421,33.2849,13.6321,2.1109,0.7245,0.3141,0.1115,0.1198,0.024,0.0405,0.5864,0.6279,0.7438,0.1996,0.0978,0.0556,0.0253,0.0305,0.0071,0.0137,0.329,2759,20,5,1,1,0,0,0,0,0
PYCPIL4-2,JJR,10/12/2021 14:44,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.0615,17.7165,28.2257,20 20 5600 8910  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-168,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1031.0851,0,35.4182,0,111.2695,0,0.3435,0,1031.0851,0,0.956,1157,3341,528,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,799.156,224.4353,6.5638,0.2031,0.0793,0.2783,0,0.207,0,0,54.5075,47.4742,2.3496,0.1193,0.0526,0.2388,0,0.3263,0,0,17.3503,15.1115,0.7479,0.038,0.0167,0.076,0,0.1039,0,0,0.3593,0.8277,0.0676,0.0056,0.0028,0.0164,0,0.0302,0,0,1130,25,2,0,0,0,0,0,0,0
TEUCAN4-1,JJR,10/13/2021 11:13,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,503.2117,17.7482,28.3528,10 10 5600 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-182,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1859.5217,0,40.8974,0,128.4831,0,0.2199,0,1859.5217,0,0.706,3279,9786,1873,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1819.0769,35.7178,2.2407,1.7016,0.328,0.1561,0.0135,0,0,0,106.1427,7.0049,0.8328,0.9413,0.2298,0.1379,0.0139,0,0,0,33.7863,2.2297,0.2651,0.2996,0.0732,0.0439,0.0044,0,0,0,0.6201,0.1127,0.0249,0.0417,0.0129,0.0097,0.0011,0,0,0,3253,26,0,0,0,0,0,0,0,0
VIOPED2-1,JJR,10/13/2021 11:33,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,505.2409,17.78,28.4162,10 20 5610 8970  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-198,Smooth Off Area On 0.0100 LWRatio Off,Off,1,3244.4137,0,93.1681,0,292.6963,0,0.2872,0,3244.4137,0,2.101,3890,21450,3503,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2915.9367,294.582,26.1238,6.1338,0.4579,0.0874,0.4833,0,0.097,0,187.3271,61.2003,9.5919,3.242,0.3084,0.077,0.4821,0,0.1335,0,59.6281,19.4807,3.0532,1.032,0.0982,0.0245,0.1535,0,0.0425,0,1.1939,1.0533,0.2837,0.1371,0.0166,0.0054,0.0383,0,0.0146,0,3877,11,1,1,0,0,0,0,0,0
VIOPED2-2,JJR,10/13/2021 11:46,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.8498,17.6847,28.321,30 30 5600 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-199,Smooth Off Area On 0.0100 LWRatio Off,Off,1,3049.6004,0,81.4363,0,255.8398,0,0.267,0,3049.6004,0,1.708,3215,16881,3495,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2794.4824,238.0774,15.8843,0.534,0.2838,0.0267,0,0,0,0,177.022,49.6508,5.5548,0.29,0.1988,0.0212,0,0,0,0,56.3478,15.8043,1.7681,0.0923,0.0633,0.0068,0,0,0,0,1.1073,0.8573,0.1559,0.0126,0.0111,0.0013,0,0,0,0,3203,9,3,0,0,0,0,0,0,0
VIOPED2-3,JJR,10/13/2021 12:01,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,499.7268,17.6847,28.2575,20 30 5590 8930  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-197,Smooth Off Area On 0.0100 LWRatio Off,Off,1,2196.2424,0,57.6903,0,181.2395,0,0.2627,0,2196.2424,0,1.19,2443,9565,2089,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,2039.1917,152.2891,4.4509,0.1248,0,0,0,0,0,0,131.6824,32.5274,1.5642,0.0655,0,0,0,0,0,0,41.9158,10.3538,0.4979,0.0209,0,0,0,0,0,0,0.8387,0.573,0.0442,0.0027,0,0,0,0,0,0,2429,13,1,0,0,0,0,0,0,0
PYCVIR4-1,JJR,10/13/2021 14:31,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.5111,17.653,28.3528,20 10 5580 8940  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-174,Smooth Off Area On 0.0100 LWRatio Off,Off,1,1870.8764,0,53.067,0,166.715,0,0.2836,0,1870.8764,0,1.182,2105,9748,1497,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1710.267,148.7466,8.5019,2.232,0.2966,0,0.4653,0,0,0.1426,116.7037,29.3927,3.1391,1.1742,0.2039,0,0.4816,0,0,0.3565,37.1479,9.356,0.9992,0.3737,0.0649,0,0.1533,0,0,0.1135,0.759,0.4782,0.0934,0.0494,0.0112,0,0.0394,0,0,0.0441,2085,20,0,0,0,0,0,0,0,0
