RHIZO 2012,Operator,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),Tips,Forks,Crossings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
SampleId,COLOR,Name,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,LINK,Link#,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,DEV,Order#,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,AXIS,Order#,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILTER4-2,JJR,9/20/2021 15:21,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,496.6287,17.6784,28.0924,32 64 5600 8912  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-165,Smooth Off Area On 0.0100 LWRatio Off,Off,1,483.3011,0,27.4992,0,86.3913,0,0.569,0,483.3011,0,1.229,100,522,67,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,328.9659,127.8107,8.0083,6.1475,5.3241,1.1924,1.2343,3.058,0.4421,1.1177,38.957,26.0653,2.9209,3.4015,3.6979,1.0129,1.2771,3.6146,0.5907,1.8319,12.4004,8.2968,0.9298,1.0827,1.1771,0.3224,0.4065,1.1506,0.188,0.5831,0.3784,0.4368,0.086,0.1507,0.2051,0.0686,0.1053,0.3404,0.0629,0.2399,93,6,0,0,0,0,0,1,0,0
SILTER1-1,JJR,9/21/2021 10:26,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,499.679,17.6276,28.3464,32 16 5584 8944  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-165,Smooth Off Area On 0.0100 LWRatio Off,Off,1,828.4472,0,37.3482,0,117.3329,0,0.4508,0,828.4472,0,1.322,533,1470,269,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,744.7811,60.7905,3.9792,1.0741,0.2651,0.2634,2.3699,4.0778,3.5702,7.1349,73.5708,11.602,1.46,0.5665,0.1762,0.2266,2.3086,4.9716,4.7997,13.6396,23.4183,3.693,0.4647,0.1803,0.0561,0.0721,0.7349,1.5825,1.5278,4.3416,0.6275,0.1822,0.0432,0.024,0.0093,0.0155,0.179,0.4825,0.5142,2.1436,525,8,0,0,0,0,0,0,0,0
SILTER1-2,JJR,9/21/2021 10:40,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.7577,17.7292,28.2448,32 32 5616 8928  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-172,Smooth Off Area On 0.0100 LWRatio Off,Off,1,956.6862,0,43.5865,0,136.9309,0,0.4556,0,956.6862,0,1.56,887,2846,394,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,738.5675,161.3034,30.0585,17.3439,4.9492,2.7376,0.7137,0.0582,0.3394,0.1613,68.8165,33.1755,11.4797,9.3549,3.4539,2.3435,0.703,0.0704,0.4612,0.2502,21.905,10.5601,3.6541,2.9777,1.0994,0.746,0.2238,0.0224,0.1468,0.0796,0.5929,0.5614,0.3531,0.4041,0.1929,0.16,0.0552,0.0068,0.0499,0.0309,866,16,3,0,1,0,0,0,1,0
SILTER1-3,JJR,9/21/2021 10:56,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,495.2016,17.6276,28.0924,32 16 5584 8864  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-171,Smooth Off Area On 0.0100 LWRatio Off,Off,1,522.2434,0,27.7869,0,87.2951,0,0.5321,0,522.2434,0,1.161,310,797,97,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,307.681,186.1333,20.0325,5.735,1.2054,0.4168,0.9603,0.079,0,0,32.2508,38.4394,7.4862,3.0697,0.8437,0.3556,0.9548,0.0875,0,0,10.2657,12.2356,2.3829,0.9771,0.2686,0.1132,0.3039,0.0279,0,0,0.2998,0.6503,0.2258,0.1318,0.0472,0.0242,0.0757,0.0077,0,0,288,17,4,0,1,0,0,0,0,0
SILLAC4-1,JJR,9/21/2021 13:17,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,496.4532,17.5768,28.2448,32 16 5568 8912  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-161,Smooth Off Area On 0.0100 LWRatio Off,Off,1,350.139,0,21.6298,0,67.952,0,0.6177,0,350.139,0,1.049,143,387,51,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,275.7487,34.4793,8.8486,3.8044,7.076,13.1597,4.7298,1.867,0.394,0,29.7669,6.6851,3.4193,2.0819,5.0459,11.2061,4.7585,2.1377,0.5301,0,9.4751,2.1279,1.0884,0.6627,1.6062,3.567,1.5147,0.6804,0.1687,0,0.2709,0.1083,0.106,0.0914,0.2875,0.7608,0.3817,0.1949,0.0568,0,139,4,0,0,0,0,0,0,0,0
SILLAC4-2,JJR,9/21/2021 13:32,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,495.5603,17.5768,28.194,48 64 5584 8944  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-174,Smooth Off Area On 0.0100 LWRatio Off,Off,1,218.1123,0,10.1611,0,31.922,0,0.4659,0,218.1123,0,0.372,86,111,8,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,141.1296,76.0359,0.9468,0,0,0,0,0,0,0,16.1873,14.7117,0.3425,0,0,0,0,0,0,0,5.1526,4.6829,0.109,0,0,0,0,0,0,0,0.156,0.2326,0.0099,0,0,0,0,0,0,0,81,4,1,0,0,0,0,0,0,0
SILLAC5-1,NT,9/21/2021 15:49,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,493.2377,17.526,28.1432,48 32 5568 8896  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-164,Smooth Off Area On 0.0100 LWRatio Off,Off,1,770.4076,0,36.7781,0,115.5419,0,0.4774,0,770.4076,0,1.379,357,998,241,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,658.0576,86.9668,1.9975,1.7839,0,1.4683,4.2513,5.782,2.1016,7.9655,66.5342,15.7244,0.8338,0.9656,0,1.2828,4.4909,6.9877,2.7897,12.1074,21.1785,5.0052,0.2654,0.3073,0,0.4083,1.4295,2.2242,0.888,3.8539,0.5707,0.2299,0.0281,0.0418,0,0.0893,0.3781,0.6724,0.295,1.4702,346,8,1,2,0,0,0,0,0,0
SILINT4-1,JJR,9/22/2021 10:35,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,502.5343,17.6847,28.4162,20 20 5590 8970  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-175,Smooth Off Area On 0.0100 LWRatio Off,Off,1,845.1668,0,28.8066,0,90.4986,0,0.3408,0,845.1668,0,0.771,485,1619,348,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,775.7829,57.756,8.4884,1.9282,0,0,0.2081,0.3695,0.2972,0.2613,68.1179,12.2965,3.2434,0.9883,0,0,0.253,0.4239,0.3765,0.5824,21.6826,3.9141,1.0324,0.3146,0,0,0.0805,0.1349,0.1198,0.1854,0.5071,0.2162,0.0999,0.0404,0,0,0.0195,0.0387,0.0379,0.1034,480,3,2,0,0,0,0,0,0,0
SILINT4-2,JJR,9/22/2021 10:51,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.2883,17.6847,28.2892,30 40 5600 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-174,Smooth Off Area On 0.0100 LWRatio Off,Off,1,731.1129,0,26.1995,0,82.3081,0,0.3584,0,731.1129,0,0.737,398,975,235,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,662.288,42.6639,17.855,7.2701,1.003,0,0,0,0,0,58.8264,10.0308,6.7239,3.8562,0.6383,0,0,0,0,0,18.725,3.1929,2.1403,1.2275,0.2032,0,0,0,0,0,0.4389,0.1942,0.2041,0.1637,0.0323,0,0,0,0,0,394,2,1,0,1,0,0,0,0,0
SILINT4-3,JJR,9/22/2021 11:07,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,498.4919,17.6213,28.2892,40 40 5590 8950  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-172,Smooth Off Area On 0.0100 LWRatio Off,Off,1,831.3413,0,31.755,0,99.7614,0,0.382,0,831.3413,0,0.953,394,979,271,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,737.9683,56.3664,25.2069,7.1878,3.148,1.4445,0,0,0,0,67.5071,13.1415,9.3322,3.9386,2.1552,1.1945,0,0,0,0,21.4882,4.1831,2.9705,1.2537,0.686,0.3802,0,0,0,0,0.5187,0.2536,0.2791,0.1729,0.1178,0.0786,0,0,0,0,390,0,2,0,1,1,0,0,0,0
